time,haccel_trapz_int1,haccel_trapz_int2,haccel_peak_int3,haccel_peak_int4,vaccel_trapz_int1,vaccel_trapz_int2,vaccel_peak_int3,vaccel_peak_int4
0,8.860406750866465e-05,1.1452244195332427e-05,0.148,0.4,3.221596308607526e-05,4.514602802388351e-05,0.228,0.41200000000000003
10,8.908263662307268e-05,1.090871088362882e-05,0.152,0.4,3.0209194271889633e-05,4.583752894195495e-05,0.216,0.404
20,8.799671293557284e-05,1.2143757271622527e-05,0.14400000000000002,0.396,3.2459241452134296e-05,4.7152963630334624e-05,0.20800000000000002,0.396
30,8.692200418051737e-05,1.2112403300594992e-05,0.136,0.404,3.293006444919106e-05,4.613477463561471e-05,0.228,0.404
40,8.833074811220146e-05,1.2215186792383868e-05,0.148,0.4,3.30288732191575e-05,4.847744600286926e-05,0.224,0.40800000000000003
50,8.07886838312193e-05,1.27806726485992e-05,0.152,0.40800000000000003,3.052670491025167e-05,4.6303353028034764e-05,0.20800000000000002,0.40800000000000003
60,8.210226631943484e-05,1.1815481566414215e-05,0.156,0.396,3.5111198305158e-05,4.4206702985884683e-05,0.216,0.396
70,8.6044947402265e-05,1.3655355462551243e-05,0.156,0.41200000000000003,3.149006211311153e-05,4.648756102267815e-05,0.22,0.41200000000000003
80,8.508000518958099e-05,1.2655208493634743e-05,0.156,0.41200000000000003,3.265762185321168e-05,4.430787912739369e-05,0.224,0.368
90,8.131914568636003e-05,1.4207569355946714e-05,0.152,0.40800000000000003,3.228029197255818e-05,4.6335474325323826e-05,0.224,0.376
100,8.095443883975872e-05,1.3768574431443253e-05,0.156,0.41600000000000004,3.378003843084132e-05,4.470782679929681e-05,0.224,0.41600000000000004
110,8.085435849928367e-05,1.5978252940722863e-05,0.164,0.41200000000000003,3.2939694349724016e-05,5.108694278104587e-05,0.224,0.42
120,8.381749292011095e-05,1.5473317580491702e-05,0.156,0.404,3.367515672764197e-05,4.6658829625166606e-05,0.224,0.41600000000000004
130,8.399376802906508e-05,1.4932332197604316e-05,0.148,0.40800000000000003,3.4766903894437094e-05,4.952850609426779e-05,0.224,0.372
