time,haccel_trapz_int1,haccel_trapz_int2,haccel_peak_int3,haccel_peak_int4,vaccel_trapz_int1,vaccel_trapz_int2,vaccel_peak_int3,vaccel_peak_int4
0,8.490859024711785e-05,1.0573792426384099e-05,0.152,0.40800000000000003,3.0161448347983663e-05,3.501604448154738e-05,0.2,0.364
10,8.711311047569212e-05,1.0813934954199511e-05,0.16,0.41600000000000004,3.408281022482765e-05,3.411235878520049e-05,0.184,0.372
20,8.636446987868548e-05,1.313693836673373e-05,0.152,0.40800000000000003,3.184044728870245e-05,3.1755362796175395e-05,0.184,0.364
30,8.065172682093808e-05,1.2442070414260794e-05,0.16,0.404,3.364815413974315e-05,3.261304147976927e-05,0.20400000000000001,0.364
40,8.034337829245761e-05,1.2816072341278324e-05,0.168,0.404,3.269362878642453e-05,3.07203380664852e-05,0.184,0.368
50,8.337469667310139e-05,1.3650169424070896e-05,0.164,0.41200000000000003,3.08696684437558e-05,2.8770487369461975e-05,0.192,0.36
60,8.040574627758541e-05,1.2716246195177053e-05,0.16,0.41600000000000004,3.236784089934785e-05,2.8497409495246287e-05,0.188,0.368
70,6.896455547633279e-05,1.5077571649210998e-05,0.16,0.41600000000000004,3.226305788062034e-05,2.927675147286816e-05,0.184,0.36
80,5.169745365855702e-05,1.6147954313967794e-05,0.136,0.356,2.863891058227508e-05,3.046408683077185e-05,0.188,0.36
90,5.352056451470474e-05,1.7366111844312206e-05,0.136,0.40800000000000003,2.9939884879142175e-05,2.8773136199100172e-05,0.2,0.364
100,4.985280645028678e-05,1.6665628236525482e-05,0.136,0.38,2.3385944859376602e-05,2.8323918965824975e-05,0.192,0.36
110,7.68180311847822e-05,1.517059044594785e-05,0.156,0.4,2.8791820994818444e-05,2.6848850706353426e-05,0.2,0.36
120,7.626888193972987e-05,1.6244263136164526e-05,0.16,0.40800000000000003,2.96687436790313e-05,2.4678172887729154e-05,0.196,0.36
130,7.229285652662882e-05,1.7327270747860816e-05,0.16,0.40800000000000003,3.155815321654423e-05,2.609991110077589e-05,0.188,0.36
140,6.965618286161162e-05,1.5552175387369717e-05,0.152,0.352,3.229176392370469e-05,2.487632869995772e-05,0.184,0.36
150,7.480763737764807e-05,1.6270501779981035e-05,0.16,0.40800000000000003,3.229647303942699e-05,2.5722726262666958e-05,0.188,0.364
160,6.276427907893486e-05,1.667361380149009e-05,0.176,0.376,3.241839421285616e-05,2.5664851672544416e-05,0.184,0.36
170,4.969680282484086e-05,2.000617766933401e-05,0.136,0.392,2.5517644960173328e-05,2.7367376383735476e-05,0.184,0.376
180,5.04027136047009e-05,1.7774279944629492e-05,0.136,0.392,2.850932447395915e-05,2.624141636368632e-05,0.184,0.36
190,5.499791241276348e-05,1.9181980037163522e-05,0.136,0.388,2.9686273385913178e-05,2.575857536390365e-05,0.188,0.36
200,5.297320640809766e-05,1.905273767633895e-05,0.136,0.352,2.6321312508177214e-05,2.8009782181256582e-05,0.184,0.36
210,5.5074594827193037e-05,1.817857897522698e-05,0.128,0.384,2.7269510507801857e-05,2.4983136873677378e-05,0.196,0.36
220,5.0547385002415205e-05,1.7910460843514557e-05,0.136,0.388,2.8912242437410855e-05,2.5151334724348137e-05,0.188,0.36
230,4.902461853335096e-05,1.655317408575221e-05,0.136,0.396,2.885413017128812e-05,2.5482312513320236e-05,0.188,0.364
240,4.952626937885684e-05,1.8581427646867026e-05,0.136,0.404,2.7486977297718718e-05,2.463660378667305e-05,0.188,0.36
250,5.390680392637813e-05,1.866943635873271e-05,0.136,0.388,2.8984890942512222e-05,2.5580634622681208e-05,0.188,0.36
260,5.462091848313265e-05,1.8834183188038323e-05,0.136,0.392,2.951956042202225e-05,2.5832933224243036e-05,0.188,0.36
270,5.0982553894164185e-05,1.977459164174191e-05,0.136,0.388,2.7899692703611812e-05,2.827728263442498e-05,0.184,0.364
280,5.3451616384753595e-05,2.0184123781809728e-05,0.14,0.404,2.993565037203229e-05,2.485852100565092e-05,0.188,0.364
290,5.535210044289271e-05,1.9582047461607388e-05,0.14,0.36,2.731466782794845e-05,2.6628926087894172e-05,0.196,0.36
300,5.6601384188006016e-05,1.7938352640851158e-05,0.136,0.392,2.5501648833891026e-05,2.53684559583067e-05,0.184,0.36
310,5.616345975582435e-05,1.866418075292992e-05,0.136,0.41600000000000004,2.9495180500535005e-05,2.4676141105230133e-05,0.192,0.36
320,5.537619030076391e-05,1.8556560504624234e-05,0.136,0.404,2.8647921587121644e-05,2.3631821662086214e-05,0.184,0.364
330,5.3385645382368916e-05,1.8554389597373465e-05,0.136,0.392,2.7874654113191818e-05,2.466264176573318e-05,0.192,0.364
340,5.808612591611506e-05,1.9513946552362496e-05,0.136,0.392,2.5476721031640615e-05,2.3042629576363164e-05,0.196,0.36
350,5.2978911201037685e-05,1.830835519992729e-05,0.14400000000000002,0.392,2.802766242796353e-05,2.540925776210499e-05,0.188,0.364
360,5.381441268468605e-05,1.9000023103712687e-05,0.128,0.396,2.6511418242608445e-05,2.4570844916114473e-05,0.192,0.36
370,4.5943354762653245e-05,2.872468452556859e-05,0.128,0.392,2.0458469145895888e-05,4.103821075643308e-05,0.188,0.36
380,5.355245003495301e-05,1.9837668184759713e-05,0.136,0.388,2.909997609096174e-05,2.2944879192318594e-05,0.188,0.36
390,5.3540417558290725e-05,2.4898677891473303e-05,0.14400000000000002,0.40800000000000003,2.879394236550131e-05,2.681180447202402e-05,0.184,0.36
400,5.742429815372851e-05,2.0369230867529698e-05,0.14400000000000002,0.384,2.8993566944399493e-05,2.403316726461443e-05,0.184,0.364
410,5.2768249645570485e-05,2.0880956039881593e-05,0.136,0.396,2.6593673352038584e-05,2.3653596581076842e-05,0.184,0.36
420,5.375621092373089e-05,1.9909037777223317e-05,0.136,0.392,2.7583747383163082e-05,2.4797096680811536e-05,0.184,0.364
