time,haccel_mean,vaccel_mean,haccel_var,vaccel_var,haccel_kurt,vaccel_kurt,haccel_skew,vaccel_skew
0,0.0034652343749999983,-0.001881250000000001,0.3156694845274949,0.18999355760062522,-0.12937474006868177,-0.03280164198939506,-0.0047138295377816474,0.002715069765491554
10,0.005609375000000001,-0.0009304687499999985,0.2864258035853849,0.17728276499548162,-0.0824641541725133,0.15326250166890532,-0.025805701696344246,0.07742548105577114
20,0.004195703124999996,-0.002228515624999999,0.28222172760950937,0.18120572071838975,0.03580113087330039,-0.059324500255632184,-0.00501905370459594,-0.024407301532841583
30,-0.0018242187500000008,-0.0005941406250000005,0.3079568295812573,0.19856904467061717,0.045851416672149536,-0.11119344305260315,-0.08021203917872885,-0.00819481610118559
40,-0.0025816406250000015,0.009917578125000001,0.3212130515580732,0.17961798030831747,-0.18349200661083698,-0.03253710334210069,-0.03420655396744779,0.08126086275632621
50,-0.0007488281249999999,-0.005373437500000002,0.29625030460980245,0.18723164009134427,0.11033405521351769,-0.1222356508895075,0.02620480131904371,0.0653104765551666
60,0.015531640625000006,6.835937499999906e-05,0.2793919169351736,0.20196298516495093,0.0007284486947263247,-0.07720878216548055,0.03626616029987766,-0.04029230234930106
70,-0.0011796874999999974,-0.0007234375000000003,0.29213863202178586,0.19153977967711996,0.1126574562858198,0.16526335514330315,0.031230708103395594,-0.025087280298879498
80,0.008843359374999998,0.007046875000000001,0.3208324166420904,0.20165361483978117,0.22070859021141098,0.14682483084135356,0.01955605082039941,0.08897763865731587
90,-0.00010117187499999805,0.003437890625,0.28479151731007596,0.20565708562899937,0.15438289893118995,0.07343483279827989,0.0010969210385958356,-0.022673129242243115
100,0.0010511718749999996,0.0011027343749999995,0.2934791552545855,0.20818870182917523,0.4039083200571385,0.07402253606270692,0.028576269616064413,-0.05207112488396125
110,0.0020695312499999967,-0.012200781249999997,0.273629158117795,0.21636792371959263,0.20664074674043365,0.08112813486444637,0.08550634710265219,0.0029602862949738764
120,-0.0005148437500000005,0.009417187500000002,0.30000135577801385,0.21289470669939428,0.007720750231898776,0.02159061268583029,-0.04550112919629715,0.014102154029094741
130,0.003094921875,0.002110156249999997,0.30347241107228773,0.23128207070572,0.028786933726456354,0.1118450364946546,-0.039655732516538804,-0.05076300046184251
140,-0.004674999999999999,-0.0038312500000000026,0.2987212651817116,0.20841330406408753,-0.08057223158196924,0.053527500690671026,-0.023476911796383344,-0.046995220919701576
150,0.005320703125000004,0.003769921875000003,0.27800616166578135,0.2160262452067153,0.05942722649540588,0.0886084706108301,-0.05152452542958437,-0.04342866646081728
160,0.0012691406249999988,0.0033753906250000012,0.28783912917628346,0.2195338992769087,-0.07942008005479417,-0.03699686596546892,0.04044836499446809,-0.014547630286380708
170,-0.0022382812500000024,0.002756250000000002,0.2696026075218591,0.2211629683079328,0.04490415153551197,-0.07041547151504401,-0.013233511055715557,0.008382749844842406
180,-0.002152343749999997,0.009748046875,0.2886413007369822,0.2269260056624597,0.17631006414503725,-0.009279965932477818,-0.004577109948590427,0.05699950763411324
190,0.0053121093749999996,-0.008593749999999999,0.2860554762112581,0.23726647733489645,0.061760567374172126,0.061619406063161186,0.006535088923126287,0.006161804078177866
200,0.0025031249999999993,0.007448046875,0.2462207831086362,0.222736773384226,0.12923258178138664,0.12165352981546418,-0.07243706867460364,0.0034688895764130507
210,0.010842187500000001,-0.00204453125,0.3593489567189332,0.24457366585519247,0.1177390187431766,-0.14752727839539492,0.03645506562714223,-0.010527824980419143
220,0.003761328125,-0.0059140624999999974,0.298255658918126,0.2500058636552364,0.20023244784242689,-0.006768274718053302,-0.024826230165663397,0.054367183592032235
