time,haccel_trapz_int1,haccel_trapz_int2,haccel_peak_int3,haccel_peak_int4,vaccel_trapz_int1,vaccel_trapz_int2,vaccel_peak_int3,vaccel_peak_int4
0,6.19018428870565e-05,9.565592874230635e-06,0.12,0.4,2.7443092309114313e-05,3.426406507739846e-05,0.228,0.42
10,6.0995739920065886e-05,1.1313628580433633e-05,0.128,0.41600000000000004,2.4758669813026098e-05,3.825380304310641e-05,0.23600000000000002,0.41600000000000004
20,6.0412346157233035e-05,9.786798220192287e-06,0.128,0.40800000000000003,2.8760686550084472e-05,3.693998945441604e-05,0.228,0.424
30,5.920491467656024e-05,1.0437217976869277e-05,0.128,0.392,2.97259477097477e-05,3.764473513925106e-05,0.23600000000000002,0.4
40,6.11395454604694e-05,1.0534907700283712e-05,0.128,0.404,2.723442695436376e-05,3.9128649059766635e-05,0.23600000000000002,0.404
50,5.975797145576952e-05,1.1669359362563009e-05,0.128,0.4,2.7975151199843372e-05,3.924041866383724e-05,0.23600000000000002,0.41600000000000004
60,5.721500423527775e-05,1.0750404714049539e-05,0.128,0.4,2.3764054135393222e-05,3.876705026615116e-05,0.23600000000000002,0.4
70,5.941909149566276e-05,1.1467442099540784e-05,0.14400000000000002,0.404,2.531891925545297e-05,4.002276033420467e-05,0.23600000000000002,0.41200000000000003
80,6.3566324436975e-05,1.0676481580027545e-05,0.12,0.392,2.7454539712765055e-05,3.8930123692456256e-05,0.188,0.4
90,6.048422818720588e-05,1.1044742088746392e-05,0.128,0.4,2.5624413121156496e-05,3.884289689800818e-05,0.184,0.4
100,5.6778404396394807e-05,1.0874116282257275e-05,0.128,0.392,2.7319909037405297e-05,3.93204693760965e-05,0.232,0.40800000000000003
110,6.645401156472696e-05,1.1724926289461819e-05,0.128,0.404,2.794109184966118e-05,3.8876741093042326e-05,0.184,0.404
120,5.754216824380616e-05,1.1611706599160343e-05,0.12,0.4,2.586171814610486e-05,4.1810369411067255e-05,0.23600000000000002,0.4
130,8.506971942031638e-05,1.1825793383902952e-05,0.152,0.41600000000000004,2.790167768017122e-05,4.451687488207246e-05,0.216,0.41600000000000004
140,9.390346614294493e-05,1.0779217164320155e-05,0.136,0.40800000000000003,2.913010333962596e-05,4.326463657302868e-05,0.20400000000000001,0.40800000000000003
150,8.531979587890457e-05,1.1557215271948589e-05,0.14400000000000002,0.40800000000000003,2.763516510374871e-05,4.519242798010728e-05,0.20400000000000001,0.40800000000000003
160,6.3002264880674e-05,1.382131158328009e-05,0.136,0.404,3.0290618145855198e-05,4.3019802059814976e-05,0.192,0.404
170,6.023662809573746e-05,1.5430127137176153e-05,0.14400000000000002,0.41600000000000004,2.8228055091454193e-05,4.435638673657036e-05,0.192,0.36
180,5.62648632120358e-05,1.7012480481641073e-05,0.128,0.404,2.9518704186349962e-05,4.4679318657171156e-05,0.188,0.432
190,5.493751007658528e-05,1.8333683173614263e-05,0.12,0.4,3.260656474185274e-05,4.386599491938044e-05,0.192,0.36
200,5.341511458495934e-05,1.5955246029910256e-05,0.136,0.41200000000000003,3.410761285542091e-05,4.233502077814713e-05,0.196,0.41200000000000003
210,5.888375784444834e-05,1.759765922592837e-05,0.14,0.41600000000000004,2.9706465307399128e-05,4.3580978263528614e-05,0.20400000000000001,0.41600000000000004
220,5.4561945430922354e-05,1.631389863736156e-05,0.128,0.392,3.706177459354651e-05,4.2842651676517065e-05,0.192,0.42
230,5.6162626267993785e-05,1.7925509481042185e-05,0.128,0.40800000000000003,3.187002059929956e-05,4.5795088501869005e-05,0.2,0.42
240,5.2032840738762116e-05,1.5895310686786793e-05,0.136,0.41200000000000003,3.311699273137894e-05,4.583396882487207e-05,0.196,0.42
250,5.710009345241187e-05,1.6191153210432857e-05,0.128,0.4,3.0865994286799036e-05,4.448306927876645e-05,0.196,0.41600000000000004
260,5.131292244346371e-05,1.7127723278324962e-05,0.14400000000000002,0.40800000000000003,3.4538737640712435e-05,4.626622416518158e-05,0.196,0.40800000000000003
270,5.542553367627439e-05,1.7546315767504217e-05,0.136,0.4,2.9795581386512665e-05,4.520904827506283e-05,0.2,0.36
280,5.398245071473735e-05,1.686979001921515e-05,0.136,0.404,3.339507153556562e-05,4.5447993951146487e-05,0.196,0.372
290,5.5615765283008664e-05,1.7729063575591785e-05,0.14400000000000002,0.40800000000000003,3.0029315100030503e-05,4.5862238233884845e-05,0.196,0.41200000000000003
300,5.319249751135446e-05,1.6886158404563782e-05,0.128,0.41600000000000004,3.213010744365031e-05,4.357969442553966e-05,0.2,0.36
310,5.090467612953727e-05,1.756622282943718e-05,0.07200000000000001,0.404,3.2075059154866966e-05,4.4688849641210486e-05,0.212,0.42
320,4.9889244954148595e-05,1.6796442069174537e-05,0.128,0.41600000000000004,3.307710164456636e-05,4.664016408377814e-05,0.20400000000000001,0.41600000000000004
330,5.4247503509366224e-05,1.6841757617303315e-05,0.136,0.41600000000000004,3.1673075513867233e-05,4.3301196224303e-05,0.196,0.41600000000000004
340,5.499222660259493e-05,1.6869118171306054e-05,0.136,0.41200000000000003,3.124399468343976e-05,4.789500031661326e-05,0.196,0.41200000000000003
350,5.2688932118864015e-05,1.7073621864085007e-05,0.12,0.41200000000000003,3.5800505317600564e-05,4.539068686939522e-05,0.188,0.42
360,5.417724380152811e-05,1.685072189388393e-05,0.14400000000000002,0.40800000000000003,3.6157352048656794e-05,4.365406069431594e-05,0.20400000000000001,0.40800000000000003
370,5.376517471687961e-05,1.7422877436146503e-05,0.136,0.40800000000000003,3.388228659517638e-05,4.5931066479247425e-05,0.2,0.40800000000000003
380,5.7364989904391376e-05,1.6996441657390237e-05,0.12,0.41200000000000003,3.4169693207792666e-05,4.545365111128268e-05,0.20400000000000001,0.36
390,5.4236950976421546e-05,1.8475804056384443e-05,0.136,0.40800000000000003,3.28232763085598e-05,4.627073937639289e-05,0.196,0.368
400,5.261412752706955e-05,1.7830957245791487e-05,0.128,0.41600000000000004,3.45666003298214e-05,4.542176902588389e-05,0.212,0.38
410,5.266874457455409e-05,1.8524736813587124e-05,0.12,0.41200000000000003,3.3654613256942684e-05,4.5636967316592916e-05,0.2,0.432
420,4.829834565129755e-05,1.767957861508761e-05,0.128,0.404,3.372210940814232e-05,4.5999989724701816e-05,0.188,0.40800000000000003
430,4.820845512673227e-05,1.826398792814498e-05,0.128,0.404,3.405085691615113e-05,4.812493835748717e-05,0.196,0.364
440,5.219696786312061e-05,1.6957961454479867e-05,0.132,0.40800000000000003,3.310481261239564e-05,4.4457855457990135e-05,0.20400000000000001,0.41200000000000003
450,5.7094911845809504e-05,1.840682693865651e-05,0.136,0.41600000000000004,3.376182429918569e-05,4.5015174361026284e-05,0.196,0.41600000000000004
460,5.4810443685101766e-05,1.8512352703806335e-05,0.14400000000000002,0.40800000000000003,3.470726751670458e-05,4.601898993349383e-05,0.20400000000000001,0.40800000000000003
470,4.937587822175428e-05,1.8521666750515226e-05,0.136,0.404,3.1902968113585955e-05,4.508816079905143e-05,0.192,0.368
480,5.344843435552039e-05,1.709351508106944e-05,0.14400000000000002,0.4,3.294019798665128e-05,4.610949186799535e-05,0.196,0.41600000000000004
490,5.4685711468638726e-05,1.6876393457383925e-05,0.136,0.40800000000000003,3.4048833624492986e-05,4.4673318579266304e-05,0.2,0.40800000000000003
500,5.283997760334172e-05,1.5741738538662776e-05,0.14400000000000002,0.41600000000000004,3.363552941149392e-05,4.4215274141429415e-05,0.212,0.41600000000000004
510,5.33190581753001e-05,1.735068864467924e-05,0.14400000000000002,0.41600000000000004,3.337517332285148e-05,4.563334788602925e-05,0.196,0.36
520,5.264795605901084e-05,1.8514134542073303e-05,0.136,0.40800000000000003,3.4057000031510706e-05,4.810887462142796e-05,0.196,0.40800000000000003
530,5.105107699530482e-05,1.782555705814566e-05,0.128,0.4,3.4785661186157514e-05,4.567650408935052e-05,0.196,0.4
540,5.6241425361251897e-05,1.778294819420037e-05,0.128,0.40800000000000003,3.376877953547558e-05,4.462133735136567e-05,0.196,0.42
550,5.41756432630895e-05,1.7325861182100374e-05,0.128,0.40800000000000003,3.2255540624272815e-05,4.504745551857019e-05,0.2,0.372
560,4.978606171087902e-05,1.8015928936505723e-05,0.136,0.41600000000000004,3.346525274175945e-05,4.631615979442893e-05,0.196,0.41600000000000004
570,5.297778669449102e-05,1.865782627679636e-05,0.136,0.41200000000000003,3.343297248059344e-05,4.564127001312663e-05,0.2,0.424
580,5.3093586967652124e-05,1.835268754243599e-05,0.128,0.41600000000000004,3.546897436281441e-05,4.440566143315421e-05,0.2,0.428
590,5.2638091674750236e-05,1.7484362771821037e-05,0.128,0.40800000000000003,3.370068763008064e-05,4.4898276492168695e-05,0.196,0.36
600,4.904887892794469e-05,1.754059010270894e-05,0.128,0.404,3.718571450057494e-05,4.4409654422876025e-05,0.196,0.4
610,5.387125088741952e-05,1.807951143642073e-05,0.136,0.41200000000000003,3.427715896850788e-05,4.5112695274126776e-05,0.2,0.41200000000000003
620,5.23230140747423e-05,1.736649132745261e-05,0.128,0.41200000000000003,3.3047159384596935e-05,4.320732680119514e-05,0.2,0.42
630,5.063085217910363e-05,1.853949995452051e-05,0.132,0.41600000000000004,3.303924791433187e-05,4.455941247704031e-05,0.188,0.41600000000000004
640,5.636222137460948e-05,1.6277287103309443e-05,0.136,0.41600000000000004,3.4096688042917176e-05,4.330593153391487e-05,0.2,0.36
650,5.136764709992544e-05,1.7909890073349982e-05,0.128,0.40800000000000003,3.5013205652930745e-05,4.440247155445337e-05,0.196,0.40800000000000003
660,5.0593572459695636e-05,1.7806469032564305e-05,0.128,0.41600000000000004,3.264920762894517e-05,4.6328065036330346e-05,0.2,0.40800000000000003
670,5.174776866018058e-05,1.7312352347963e-05,0.136,0.40800000000000003,3.74650058944461e-05,4.653413053923991e-05,0.196,0.41200000000000003
680,5.297214307938129e-05,1.954829516321432e-05,0.14400000000000002,0.404,3.072847427374866e-05,4.609989780953328e-05,0.192,0.41600000000000004
690,5.0522527558548864e-05,1.8322689651507653e-05,0.128,0.41200000000000003,3.430563145131814e-05,4.610055675678412e-05,0.20800000000000002,0.41600000000000004
700,5.132425829266253e-05,1.8429652037122716e-05,0.136,0.41200000000000003,3.4499544581366895e-05,4.718751709043641e-05,0.192,0.41200000000000003
710,5.456761808051778e-05,1.6645035193538985e-05,0.128,0.40800000000000003,3.267146466454143e-05,4.435046133305877e-05,0.212,0.40800000000000003
720,5.352818904073521e-05,1.8588027258712735e-05,0.14400000000000002,0.396,3.1214169386265976e-05,4.719905322946404e-05,0.196,0.42
730,5.343117139540324e-05,1.8840402950279557e-05,0.136,0.41600000000000004,3.2362127160033635e-05,4.759093476827056e-05,0.192,0.41600000000000004
740,5.091143301731996e-05,1.897469097494901e-05,0.128,0.40800000000000003,3.2071354239216667e-05,4.566206824208349e-05,0.188,0.40800000000000003
750,5.320103960536727e-05,1.896856616451825e-05,0.136,0.41600000000000004,3.373970079619905e-05,4.5153073913673975e-05,0.20400000000000001,0.42
760,4.8283452526964995e-05,1.7166320017459328e-05,0.136,0.41600000000000004,3.145523645245667e-05,4.703088121924379e-05,0.196,0.41600000000000004
770,5.2558816613734106e-05,1.8950474413622688e-05,0.136,0.41600000000000004,3.1586028123187175e-05,4.603583111011012e-05,0.20400000000000001,0.41600000000000004
780,5.209767957237389e-05,1.763985412750019e-05,0.128,0.40800000000000003,3.2774353167566164e-05,4.550753139251263e-05,0.2,0.432
790,5.128930667103889e-05,1.8072161673126037e-05,0.124,0.41600000000000004,3.469454141271536e-05,4.6422217826776606e-05,0.2,0.41600000000000004
800,5.3456828944480425e-05,1.760484444146436e-05,0.12,0.404,3.2111443533800824e-05,4.396179866537553e-05,0.2,0.428
810,4.7552390617509036e-05,1.973528812452287e-05,0.128,0.4,3.3805464653170424e-05,4.821695513151458e-05,0.192,0.404
820,5.247506863532498e-05,1.8561544285192e-05,0.136,0.41600000000000004,3.1634721951199556e-05,4.558999967360834e-05,0.2,0.36
